title,category
Josephus,People
Alexander_Suvorov,People
Tomás_de_Torquemada,People
Gustave_Eiffel,People
Henri_Rousseau,People
Paracelsus,People
Cardinal_Mazarin,People
Hideki_Tojo,People
"Camillo_Benso,_Count_of_Cavour",People
Nikita_Khrushchev,People
Euclid,People
Edward_Thorndike,People
Alec_Guinness,People
George_Washington_Carver,People
Enver_Pasha,People
Kangxi_Emperor,People
Galen,People
Jules_Verne,People
Catherine_de'_Medici,People
Ada_Lovelace,People
Hendrik_Lorentz,People
John_Jacob_Astor,People
Warren_Buffett,People
Eusebius,People
Paramahansa_Yogananda,People
Douglas_Engelbart,People
Muhammad_II_of_Khwarazm,People
Qin_Shi_Huang,People
Aung_San,People
Hyder_Ali,People
Roald_Dahl,People
Louis_de_Funès,People
Erik_Erikson,People
Yasunari_Kawabata,People
William_Blackstone,People
Margaret_Sanger,People
Pierre_de_Fermat,People
Karl_Pearson,People
Prithviraj_Chauhan,People
Miguel_Hidalgo_y_Costilla,People
Herbert_Spencer,People
William_the_Conqueror,People
Viv_Richards,People
Rainer_Maria_Rilke,People
Jiajing_Emperor,People
Pope_Alexander_VI,People
J._M._Coetzee,People
Svatopluk_I_of_Moravia,People
B._R._Ambedkar,People
Mobutu_Sese_Seko,People
Bobby_Fischer,People
George_Armitage_Miller,People
Ivan_the_Terrible,People
Paul_Samuelson,People
Jeremy_Bentham,People
Frantz_Fanon,People
Chaitanya_Mahaprabhu,People
Herodotus,People
Baruch_Spinoza,People
Diponegoro,People
Ryūnosuke_Akutagawa,People
Edvard_Munch,People
Jin_Yong,People
Édouard_Manet,People
Theodore_Roosevelt,People
Alessandro_Volta,People
Betty_Friedan,People
Johan_Cruyff,People
Carl_Linnaeus,People
Hector_Berlioz,People
Ho_Chi_Minh,People
Pierre_Bourdieu,People
Ernest_Hemingway,People
H._G._Wells,People
Oda_Nobunaga,People
Josephine_Baker,People
Iskandar_Muda,People
Pierre_Trudeau,People
Francis_Ford_Coppola,People
Django_Reinhardt,People
Ramanuja,People
Giordano_Bruno,People
Robert_Burns,People
Pope_Gregory_VII,People
Seonjo_of_Joseon,People
